Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,1,2,1110,1050,1303,1245,XE,2679,N21129,113,115,99,18,20,EWR,MYR,550,3,11,0,,0,18,0,0,0,0
2008,1,1,2,755,700,854,821,XE,1,N12166,179,201,163,33,55,AUS,ONT,1197,4,12,0,,0,33,0,0,0,0
2008,1,1,2,1908,1840,6,2342,XE,10,N16178,178,182,158,24,28,ONT,MCI,1318,9,11,0,,0,24,0,0,0,0
2008,1,1,2,1155,1210,1248,1307,XE,100,N11191,53,57,39,-19,-15,FAT,ONT,222,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1318,1315,1558,1558,XE,102,N14203,100,103,89,0,3,ONT,ELP,670,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1108,1025,1219,1146,XE,103,N12195,131,141,113,33,43,COS,ONT,789,7,11,0,,0,0,0,0,33,0
2008,1,1,2,1338,1350,1643,1659,XE,104,N11191,125,129,106,-16,-12,ONT,COS,789,7,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1151,1120,1240,1223,XE,105,N14203,109,123,95,17,31,ELP,ONT,670,4,10,0,,0,0,0,0,0,17
2008,1,1,2,1033,1040,1122,1138,XE,106,N11191,49,58,37,-16,-7,ONT,FAT,222,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1531,1540,1811,1821,XE,107,N12195,100,101,84,-10,-9,ONT,ABQ,631,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1356,1400,1638,1706,XE,108,N16559,102,126,91,-28,-4,ONT,BOI,660,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1839,1845,1958,2019,XE,11,N14174,199,214,187,-21,-6,MCI,ONT,1318,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,839,830,1133,1136,XE,114,N16559,114,126,93,-3,9,ONT,BOI,660,5,16,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1216,1210,1317,1312,XE,115,N16559,121,122,103,5,6,BOI,ONT,660,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,941,955,1156,1224,XE,116,N13550,135,149,125,-28,-14,GEG,ONT,936,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1039,915,1345,1224,XE,117,N12175,126,129,109,81,84,ONT,COS,789,7,10,0,,0,81,0,0,0,0
2008,1,1,2,1624,1630,1736,1740,XE,118,N14203,72,70,59,-4,-6,ELP,TUS,269,6,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1804,1810,1826,1834,XE,118,N14203,82,84,59,-8,-6,TUS,ONT,409,13,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,808,705,1017,922,XE,119,N14203,69,77,57,55,63,ONT,TUS,409,4,8,0,,0,55,0,0,0,0
2008,1,1,2,1036,945,1130,1050,XE,119,N14203,54,65,40,40,51,TUS,ELP,269,4,10,0,,0,0,0,0,0,40
2008,1,1,2,929,915,1435,1417,XE,12,N11199,186,182,164,18,14,ONT,MCI,1318,13,9,0,,0,14,0,4,0,0
2008,1,1,2,1345,1355,1447,1458,XE,120,N12552,62,63,50,-11,-10,MRY,ONT,296,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1859,1820,1952,1922,XE,125,N14562,113,122,102,30,39,BOI,ONT,660,3,8,0,,0,30,0,0,0,0
2008,1,1,2,1748,1650,1855,1811,XE,143,N27190,127,141,108,44,58,COS,ONT,789,5,14,0,,0,0,0,0,0,44
2008,1,1,2,1212,1215,1318,1325,XE,144,N12552,66,70,46,-7,-3,ONT,MRY,296,3,17,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1602,1610,1646,1707,XE,148,N14188,104,117,91,-21,-8,ABQ,ONT,631,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1821,1810,2307,2243,XE,15,N14162,166,153,150,24,11,ONT,SAT,1167,5,11,0,,0,11,0,13,0,0
2008,1,1,2,1615,1550,1716,1659,XE,151,N14568,61,69,46,17,25,FAT,LGB,222,6,9,0,,0,17,0,0,0,0
2008,1,1,2,1406,1415,1507,1520,XE,152,N14568,61,65,43,-13,-9,LGB,FAT,222,10,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,703,700,813,817,XE,16,N11193,190,197,164,-4,3,SAT,ONT,1167,18,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,853,845,1326,1318,XE,17,N11193,153,153,141,8,8,ONT,SAT,1167,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1359,1345,1525,1515,XE,17,N11193,86,90,71,10,14,SAT,TUL,483,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1628,1625,1724,1742,XE,18,N14162,176,197,162,-18,3,SAT,ONT,1167,6,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1429,1425,1550,1600,XE,18,N14162,81,95,68,-10,4,TUL,SAT,483,6,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1429,1400,1542,1515,XE,2,N12166,73,75,55,27,29,AUS,OKC,358,6,12,0,,0,0,0,0,0,27
2008,1,1,2,1626,1540,1800,1725,XE,2,N12166,214,225,196,35,46,OKC,SMF,1342,6,12,0,,0,14,0,0,0,21
2008,1,1,2,926,850,1402,1332,XE,2,N12166,156,162,144,30,36,ONT,AUS,1197,5,7,0,,0,10,0,0,0,20
2008,1,1,2,1017,910,1130,1035,XE,200,N14198,73,85,60,55,67,LGB,RNO,402,4,9,0,,0,9,0,0,0,46
2008,1,1,2,1151,1100,1323,1245,XE,200,N14198,92,105,79,38,51,RNO,GEG,572,5,8,0,,0,0,0,0,0,38
2008,1,1,2,1507,1515,1645,1658,XE,201,N11164,98,103,83,-13,-8,GEG,RNO,572,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1726,1725,1849,1849,XE,201,N11164,83,84,68,0,1,RNO,LGB,402,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,650,700,752,805,XE,202,N14562,62,65,47,-13,-10,BFL,SMF,265,7,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,826,830,1017,1030,XE,202,N14562,111,120,94,-13,-4,SMF,GEG,649,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1658,1650,1848,1842,XE,205,N14907,110,112,99,6,8,GEG,SMF,649,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1905,1910,2003,2012,XE,205,N14907,58,62,44,-9,-5,SMF,BFL,265,3,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1553,1555,1859,1855,XE,209,N17560,126,120,110,4,-2,SMF,TUS,752,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1923,1920,2216,2217,XE,209,N17560,113,117,97,-1,3,TUS,AUS,797,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,912,915,953,1012,XE,21,N11191,101,117,89,-19,-3,ABQ,ONT,631,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,740,745,851,849,XE,21,N11191,131,124,103,2,-5,TUL,ABQ,608,5,23,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,709,715,1122,1032,XE,210,N27190,193,137,116,50,-6,SMF,COS,911,4,73,0,,0,0,0,50,0,0
2008,1,1,2,1720,1730,1857,1909,XE,211,N11191,157,159,138,-12,-10,COS,SMF,911,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1938,1940,2246,2257,XE,212,N11191,128,137,114,-11,-2,SMF,COS,911,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1411,1255,1559,1434,XE,215,N12175,168,159,140,85,76,COS,SMF,911,16,12,0,,0,1,0,9,0,75
2008,1,1,2,1355,1405,1516,1530,XE,216,N14204,81,85,68,-14,-10,OKC,SAT,407,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1741,1555,1919,1758,XE,216,N14204,218,243,205,81,106,SAT,SMF,1463,4,9,0,,0,81,0,0,0,0
2008,1,1,2,1949,1825,101,2339,XE,219,N14204,192,194,180,82,84,SMF,SAT,1463,3,9,0,,0,5,0,0,0,77
2008,1,1,2,1804,1740,2251,2233,XE,22,N12163,167,173,154,18,24,ONT,TUL,1236,5,8,0,,0,18,0,0,0,0
2008,1,1,2,804,810,942,949,XE,220,N12201,158,159,131,-7,-6,ABQ,SMF,866,14,13,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,653,700,741,745,XE,220,N12201,108,105,85,-4,-7,OKC,ABQ,510,5,18,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1958,1850,2215,2116,XE,221,N12175,77,86,64,59,68,ABQ,OKC,510,4,9,0,,0,0,0,0,0,59
2008,1,1,2,1629,1515,1934,1824,XE,221,N12175,125,129,108,70,74,SMF,ABQ,866,6,11,0,,0,70,0,0,0,0
2008,1,1,2,703,700,902,859,XE,222,N14186,239,239,214,3,3,TUL,SMF,1419,5,20,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1829,1810,2327,2323,XE,223,N12166,178,193,163,4,19,SMF,TUL,1419,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1653,1655,1755,1816,XE,224,N14186,182,201,162,-21,-2,AUS,ONT,1197,7,13,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1455,1455,1617,1612,XE,224,N14186,82,77,53,5,0,OKC,AUS,358,4,25,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,937,925,1430,1429,XE,224,N14186,173,184,158,1,12,SMF,OKC,1342,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1347,1350,1632,1630,XE,226,N12201,105,100,76,2,-3,ABQ,SAT,609,21,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1008,1015,1314,1324,XE,226,N12201,126,129,107,-10,-7,SMF,ABQ,866,6,13,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,734,730,837,840,XE,23,N13161,183,190,167,-3,4,OKC,ONT,1140,7,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1257,1300,1520,1540,XE,24,N13550,143,160,126,-20,-3,ONT,GEG,936,6,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1813,1750,2138,2123,XE,25,N14198,145,153,128,15,23,TUS,MCI,1036,9,8,0,,0,8,0,0,0,7
2008,1,1,2,806,715,935,839,XE,251,N14198,89,84,65,56,51,RNO,LGB,402,3,21,0,,0,51,0,5,0,0
2008,1,1,2,1922,1920,2040,2045,XE,252,N11164,78,85,62,-5,2,LGB,RNO,402,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1729,1735,1826,1849,XE,254,N11199,117,134,101,-23,-6,TUS,RNO,710,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,2127,1810,24,2120,XE,26,N11544,117,130,106,184,197,MCI,RDU,904,3,8,0,,0,184,0,0,0,0
2008,1,1,2,1137,1140,1332,1332,XE,300,N14907,115,112,100,0,-3,GEG,SMF,649,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,753,730,901,854,XE,301,N26549,128,144,115,7,23,SAT,TUS,762,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,931,920,1040,1044,XE,301,N26549,129,144,112,-4,11,TUS,SMF,752,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1104,1110,1405,1410,XE,302,N26549,121,120,103,-5,-6,SMF,TUS,752,5,13,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,725,730,844,901,XE,303,N13553,139,151,121,-17,-5,AUS,TUS,797,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1209,1210,1356,1410,XE,308,N11194,167,180,149,-14,-1,JAX,AUS,954,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1445,1450,1547,1614,XE,309,N26549,122,144,108,-27,-5,TUS,SMF,752,6,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1412,1420,1628,1620,XE,310,N14907,136,120,87,8,-8,SMF,GEG,649,36,13,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,922,925,1016,1032,XE,311,N18557,114,127,100,-16,-3,AUS,ABQ,619,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1958,1855,2304,2204,XE,312,N12563,126,129,108,60,63,AUS,JAX,954,10,8,0,,0,0,0,0,0,60
2008,1,1,2,1929,1910,2040,2031,XE,314,N18557,71,81,57,9,19,JAX,RDU,408,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1921,1930,2040,2109,XE,315,N11193,139,159,125,-29,-9,ABQ,SMF,866,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1755,1755,1844,1902,XE,315,N11193,109,127,94,-18,0,AUS,ABQ,619,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1845,1855,2119,2139,XE,318,N12195,94,104,81,-20,-10,ABQ,AUS,619,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1348,1330,1730,1720,XE,319,N14198,162,170,144,10,18,GEG,TUS,1125,6,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1904,1845,2339,2323,XE,32,N14203,155,158,139,16,19,ONT,OKC,1140,4,12,0,,0,11,0,0,0,5
2008,1,1,2,1736,1745,2022,2040,XE,320,N11551,106,115,91,-18,-9,MSY,RDU,779,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1552,1600,1706,1720,XE,320,N11551,74,80,62,-14,-8,SAT,MSY,495,6,6,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1700,1700,1818,1820,XE,321,N12201,78,80,63,-2,0,SAT,OKC,407,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1626,1635,1915,1927,XE,322,N13553,109,112,94,-12,-9,TUS,SAT,762,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1635,1640,1745,1805,XE,33,N11194,190,205,174,-20,-5,TUL,ONT,1236,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1738,1745,2222,2227,XE,4,N14188,164,162,149,-5,-7,ONT,AUS,1197,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,711,715,1012,1034,XE,400,N19554,121,139,111,-22,-4,SAN,BOI,749,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1100,1105,1213,1216,XE,401,N19554,133,131,120,-3,-5,BOI,SAN,749,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1426,1430,1747,1749,XE,402,N14562,141,139,106,-2,-4,SAN,BOI,749,28,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1740,1740,1852,1851,XE,403,N16559,132,131,121,1,0,BOI,SAN,749,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,750,800,908,933,XE,404,N12163,198,213,180,-25,-10,OMA,SAN,1313,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,704,700,818,821,XE,405,N14204,134,141,113,-3,4,COS,SAN,816,4,17,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,718,715,837,827,XE,406,N14162,199,192,162,10,3,OKC,SAN,1136,6,31,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,950,1000,1452,1501,XE,407,N12163,182,181,167,-9,-10,SAN,OMA,1313,8,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,910,855,1355,1342,XE,408,N14162,165,167,155,13,15,SAN,TUL,1236,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,842,850,1314,1325,XE,409,N14204,152,155,139,-11,-8,SAN,OKC,1136,6,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1130,1140,1405,1420,XE,41,N17196,95,100,78,-15,-10,ABQ,TUL,608,6,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,824,830,1103,1111,XE,41,N17196,99,101,83,-8,-6,ONT,ABQ,631,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1454,1500,1601,1629,XE,410,N17196,187,209,177,-28,-6,TUL,SAN,1236,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1849,1850,1945,2002,XE,411,N12201,176,192,159,-17,-1,OKC,SAN,1136,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1444,1450,1559,1623,XE,412,N13161,195,213,181,-24,-6,OMA,SAN,1313,3,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1650,1700,2115,2135,XE,414,N17196,145,155,136,-20,-10,SAN,OKC,1136,5,4,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1707,1650,2205,2151,XE,415,N13161,178,181,163,14,17,SAN,OMA,1313,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1351,1310,1727,1620,XE,416,N27190,156,130,110,67,41,SAN,COS,816,40,6,0,,0,0,0,26,0,41
2008,1,1,2,635,645,937,955,XE,417,N12195,122,130,111,-18,-10,SAN,COS,816,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1204,1105,1314,1226,XE,420,N27190,130,141,114,48,59,COS,SAN,816,5,11,0,,0,5,0,0,9,34
2008,1,1,2,621,630,900,923,XE,421,N13550,159,173,138,-23,-9,SAN,GEG,1027,6,15,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1058,1100,1344,1338,XE,422,N14562,166,158,146,6,-2,GEG,SAN,1027,5,15,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1538,1515,1801,1808,XE,423,N16546,143,173,131,-7,23,SAN,GEG,1027,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1839,1840,2123,2118,XE,424,N16546,164,158,151,5,-1,GEG,SAN,1027,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1922,1920,2025,2035,XE,427,N16559,63,75,48,-10,2,SAN,FAT,314,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,831,700,935,807,XE,428,N16546,64,67,50,88,91,FAT,SAN,314,5,9,0,,0,0,88,0,0,0
2008,1,1,2,1313,1315,1412,1430,XE,429,N19554,59,75,47,-18,-2,SAN,FAT,314,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1620,1610,1852,1839,XE,43,N13550,152,149,139,13,10,GEG,ONT,936,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1902,1905,2120,2122,XE,43,N12552,78,77,65,-2,-3,ONT,TUS,409,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1500,1500,1606,1607,XE,430,N19554,66,67,51,-1,0,FAT,SAN,314,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,951,835,1056,952,XE,431,N16546,65,77,53,64,76,SAN,MRY,376,3,9,0,,0,0,0,0,0,64
2008,1,1,2,1124,1025,1232,1136,XE,432,N16546,68,71,59,56,59,MRY,SAN,376,4,5,0,,0,3,0,0,0,53
2008,1,1,2,1640,1635,1743,1752,XE,433,N19554,63,77,52,-9,5,SAN,MRY,376,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1922,1920,2033,2031,XE,444,N19554,71,71,56,2,2,MRY,SAN,376,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1257,1205,1348,1303,XE,445,N16546,51,58,34,45,52,SAN,BFL,215,3,14,0,,0,0,0,0,0,45
2008,1,1,2,1407,1335,1458,1431,XE,446,N16546,51,56,40,27,32,BFL,SAN,215,4,7,0,,0,0,0,0,0,27
2008,1,1,2,659,700,822,830,XE,50,N11164,83,90,64,-8,-1,ONT,RNO,394,6,13,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,715,715,802,817,XE,500,N14174,107,122,92,-15,0,SAT,ABQ,609,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,843,850,1115,1130,XE,501,N14174,92,100,73,-15,-7,ABQ,SAT,609,6,13,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1148,1155,1527,1538,XE,501,N14174,159,163,139,-11,-7,SAT,RDU,1225,6,14,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1109,1110,1350,1353,XE,502,N14188,221,223,204,-3,-1,RDU,SAT,1225,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1425,1435,1517,1537,XE,502,N14188,112,122,98,-20,-10,SAT,ABQ,609,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1152,945,1434,1240,XE,508,N12563,102,115,91,114,127,MSY,RDU,779,3,8,0,,0,0,0,0,0,114
2008,1,1,2,1014,800,1126,920,XE,508,N12563,72,80,61,126,134,SAT,MSY,495,6,5,0,,0,126,0,0,0,0
2008,1,1,2,706,700,751,752,XE,511,N11544,105,112,90,-1,6,JAX,MSY,513,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,819,820,944,1003,XE,511,N11544,85,103,74,-19,-1,MSY,AUS,445,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,855,900,1141,1155,XE,512,N11164,106,115,94,-14,-5,RNO,TUS,710,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,715,715,826,832,XE,519,N11194,71,77,56,-6,0,AUS,MSY,445,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,858,900,1113,1124,XE,519,N11194,75,84,64,-11,-2,MSY,JAX,513,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1130,1130,1305,1304,XE,521,N11551,155,154,143,1,0,RDU,MSY,779,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,748,700,940,854,XE,522,N11547,172,174,150,46,48,RDU,MCI,904,8,14,0,,0,46,0,0,0,0
2008,1,1,2,1340,1340,1517,1530,XE,523,N11551,97,110,84,-13,0,MSY,SAT,495,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,729,730,1027,1040,XE,524,N14188,118,130,105,-13,-1,MCI,RDU,904,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1223,1225,1310,1310,XE,526,N16561,107,105,92,0,-2,RDU,BHM,481,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1345,1340,1601,1610,XE,527,N16561,76,90,65,-9,5,BHM,RDU,481,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1508,1445,1822,1813,XE,528,N11547,134,148,119,9,23,MCI,JAX,956,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1917,1920,2033,2045,XE,53,N11199,76,85,62,-12,-3,RNO,ONT,394,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1055,1105,1329,1349,XE,531,N18557,94,104,82,-20,-10,ABQ,AUS,619,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1023,1030,1219,1221,XE,532,N11544,116,111,101,-2,-7,AUS,MCI,650,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1501,1320,1628,1452,XE,535,N12563,87,92,74,96,101,RDU,JAX,408,3,10,0,,0,0,0,0,0,96
2008,1,1,2,1515,1500,1654,1705,XE,54,N11199,159,185,146,-11,15,MCI,TUS,1036,5,8,0,,0,NA,NA,NA,NA,NA
